,Alcides,Amor,Apolo,Argos,Cerbero,Cintia,Climene,Creta,Cupido,Dafne,Diana,Délo,Europa,Faetón,Febo,Fitón,Fénix,Galatea,Helicona,Hércules,Júpiter,Marte,Minerva,Narciso,Neptuno,Olimpo,Orfeo,Palas,Parnaso,Siringa,Tempe,Tetis,Venus,author,title
Barahona_acteon,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,"Barahona de Soto, Luis",Fábula de Acteón
Barahona_vertumno,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,"Barahona de Soto, Luis",Fábula de Vertumnno y Pomona
Bermudez_narciso,0,292,4,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,16,0,0,74,0,2,0,0,2,0,0,2,2,"Bermúdez y Alfaro, Juan",El Narciso: flor traducida del Cefiso al Betis
Bocangel_leandro,2,70,4,2,0,0,0,0,6,0,0,0,4,0,6,0,2,0,0,0,0,2,0,6,12,0,2,0,0,0,0,0,20,"Bocángel, Gabriel",Fábula de Leandro y Hero
Carrillo_acis,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Carrillo y Sotomayor, Luis",Fábula de Acis y Galatea
Cetina_amorpsique,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,"Cetina, Gutierre de",La Psique
Espinosa_genil,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,2,2,0,0,0,0,0,2,0,"Espinosa, Pedro",Fábula de Genil
Gongora_piramotisbe,0,6,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,2,"Góngora, Luis de",Fábula de Píramo y Tisbe
Gongora_polifemo,0,20,0,2,0,0,0,0,8,0,0,0,2,0,2,0,0,20,0,0,2,0,0,0,4,0,0,0,0,0,0,2,6,"Góngora, Luis de",Fábula de Polifemo y Galatea
Hurtadodemendoza_fabulaadonis,0,34,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,"Mendoza, Diego Hurtado de","Fábula de Adonis, Hipómenes y Atalanta"
Jauregui_orfeo,4,40,4,0,4,2,0,0,2,2,0,0,2,0,6,0,0,0,2,0,0,2,2,0,0,0,30,0,0,0,0,0,4,"Jáuregui, Juan de",Orfeo
Lope_andromeda,0,36,4,0,0,0,2,2,0,0,0,0,6,2,2,0,0,0,0,0,18,0,2,2,6,2,0,4,4,0,0,0,4,"Lope de Vega, Félix",La Andrómeda
Lope_circe,4,172,16,0,6,0,0,2,2,2,0,0,4,2,4,0,4,10,0,4,20,8,0,2,24,0,6,8,0,0,0,4,24,"Lope de Vega, Félix",La Circe
Lope_filomenaprimera,0,84,2,2,0,0,0,0,2,2,0,0,6,2,6,0,0,2,0,0,10,8,2,2,2,0,8,0,0,2,0,0,10,"Lope de Vega, Félix",La Filomena
Lope_filomenasegunda,0,30,12,0,0,2,0,0,0,0,0,0,0,2,4,0,6,0,2,0,0,4,0,2,0,0,0,2,4,0,0,4,4,"Lope de Vega, Félix",Segunda parte de la Filomena
Lope_rosa,0,78,6,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0,0,0,26,30,0,0,2,2,0,18,0,0,0,0,78,"Lope de Vega, Félix",La rosa blanca
Montalban_orfeo,2,128,22,2,4,0,0,0,2,8,6,0,2,0,8,0,4,0,0,0,6,6,0,2,2,0,46,0,4,0,0,0,10,"Montalbán, Juan Pérez de",El Orfeo en lengua castellana
Polo_fabapolodafne,0,10,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Polo de Medina, Jacinto",Fábula de Apolo y Dafne
Polo_fabpansiringa,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,"Polo de Medina, Jacinto",Fábula de Pan y Siringa
Quevedo_apolo,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Quevedo, Francisco de",Fábula de Apolo y Dafne
Soto_fragmentosadonis,1,28,0,0,0,0,0,0,16,0,0,0,0,1,3,0,0,0,0,0,4,13,2,0,3,0,0,0,0,0,0,1,27,"Soto de Rojas, Pedro",Fragmentos de Adonis
Soto_rayosfaeton,6,8,4,2,0,0,22,2,6,4,6,0,2,32,6,0,0,2,2,4,14,4,4,2,8,0,0,0,4,0,0,2,4,"Soto de Rojas, Pedro",Los rayos de Faetón
Villamediana_apolodafne,4,64,10,0,0,6,0,0,0,24,0,0,0,0,20,6,6,0,2,0,4,10,4,4,2,6,0,6,0,0,2,12,6,"Villamediana, Conde de",Fábula de Apolo y Dafne
Villamediana_europa,2,12,1,1,0,3,0,1,1,0,0,0,9,0,1,0,1,3,0,0,4,5,2,0,8,1,0,0,0,0,0,7,3,"Villamediana, Conde de",Fábula de Europa
Villamediana_faeton,14,42,12,0,4,6,14,0,2,4,2,4,2,26,4,2,2,2,2,2,2,14,4,0,16,6,0,4,0,2,0,38,4,"Villamediana, Conde de",Fábula de Faetón
Villamediana_fenix,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,1,"Villamediana, Conde de",Fábula de la Fénix
