,avg_sentence_length,sentence_length_variance,function_word_frequency,punctuation_frequency,uppercase_frequency,freq_a,freq_e,freq_i,freq_o,freq_u,author,title,filename
Barahona_acteon,25.7103825136612,141.53907253127892,0.25717321997874604,0.033603594803164986,0.010002930546058416,0.094598026765654,0.10120152388395037,0.03536192243821432,0.07299013382827,0.038526912181303115,"Barahona de Soto, Luis",Fábula de Acteón,Barahona_acteon.xml
Barahona_vertumno,23.43220338983051,68.10981039931055,0.2683544303797468,0.03236030025020851,0.010075062552126772,0.09174311926605505,0.10315262718932444,0.03783152627189324,0.07366138448707256,0.04063386155129274,"Barahona de Soto, Luis",Fábula de Vertumnno y Pomona,Barahona_vertumno.xml
Bermudez_narciso,38.989010989010985,301.3763056997947,0.2064543404735062,0.036382602648430934,0.007927907044130857,0.10137057749702993,0.09922633363275478,0.051832748978586536,0.06548636666570079,0.029822375474486396,"Bermúdez y Alfaro, Juan",El Narciso: flor traducida del Cefiso al Betis,Bermudez_narciso.xml
Bocangel_leandro,27.467005076142133,213.4682161354325,0.2626131953428202,0.03337509396141318,0.011191848325398815,0.0945126534703082,0.1089117180322392,0.04476739330159526,0.06868788106573123,0.03471143405996826,"Bocángel, Gabriel",Fábula de Leandro y Hero,Bocangel_leandro.xml
Carrillo_acis,34.229166666666664,292.2391493055556,0.24223980523432745,0.03367115246164922,0.0080855070055934,0.09337099185911281,0.10034889516530986,0.039652212438389546,0.07775377969762419,0.036883203189898656,"Carrillo y Sotomayor, Luis",Fábula de Acis y Galatea,Carrillo_acis.xml
Cetina_amorpsique,25.231884057971016,151.22159210249947,0.27110855829982766,0.026035249370546954,0.014999732147640221,0.10746236674345101,0.10714094391171586,0.03664220281780683,0.06439170729094124,0.03707076659345369,"Cetina, Gutierre de",La Psique,Cetina_amorpsique.xml
Espinosa_genil,34.17777777777778,296.7822222222222,0.24967490247074123,0.029806429509507223,0.009935476503169074,0.095243533375207,0.09627134128932793,0.045223548221321304,0.07103294695369154,0.03049163478558785,"Espinosa, Pedro",Fábula de Genil,Espinosa_genil.xml
Gongora_piramotisbe,33.52238805970149,494.9855201603921,0.25779162956366874,0.03345346286430586,0.010496631677894407,0.07630836728298339,0.09088060169225948,0.0417580695706675,0.08774678784080225,0.05068943904732059,"Góngora, Luis de",Fábula de Píramo y Tisbe,Gongora_piramotisbe.xml
Gongora_polifemo,37.264367816091955,288.95309816356195,0.23689080814312152,0.03803311313192736,0.009452997595290086,0.0995052378451588,0.09519334420520191,0.0401890599519058,0.07308106912849996,0.03825423588269438,"Góngora, Luis de",Fábula de Polifemo y Galatea,Gongora_polifemo.xml
Hurtadodemendoza_fabulaadonis,36.296551724137935,320.78506539833523,0.2760782823484704,0.027403453252421276,0.008240182187994367,0.0995287857974996,0.10870963815617882,0.03717549686146998,0.07212533254507833,0.032376414946705845,"Mendoza, Diego Hurtado de","Fábula de Adonis, Hipómenes y Atalanta",Hurtadodemendoza_fabulaadonis.xml
Jauregui_orfeo,26.2478386167147,158.44089727512062,0.2486824769433465,0.03247804084076219,0.009429108631189021,0.09365499565026239,0.10400082317615034,0.049895699840041906,0.07350588851575728,0.03322638279561846,"Jáuregui, Juan de",Orfeo,Jauregui_orfeo.xml
Lope_andromeda,35.392857142857146,291.61408163265304,0.24944500504540867,0.03214061519146265,0.01144291991749619,0.09660120168594745,0.10571249215317012,0.04168236032642812,0.07235225540310286,0.03325262308313156,"Lope de Vega, Félix",La Andrómeda,Lope_andromeda.xml
Lope_circe,32.62870514820593,339.9880159948988,0.2458522591441549,0.03039984509633072,0.011289256685369847,0.09518998850850496,0.10538500717692272,0.04380237996017965,0.07009391034950141,0.034836488232793276,"Lope de Vega, Félix",La Circe,Lope_circe.xml
Lope_filomenaprimera,34.33464566929134,336.02709405418807,0.2598325880059626,0.0315054060412639,0.010269944047217193,0.09735988788985382,0.10627960024958828,0.04081382146254641,0.06957784801710293,0.03367395996358466,"Lope de Vega, Félix",La Filomena,Lope_filomenaprimera.xml
Lope_filomenasegunda,38.55958549222798,962.0992778329619,0.26014512227895725,0.03046170711511773,0.011755239128153098,0.09611998087396643,0.1010647602831586,0.04846816798255332,0.06967007592102348,0.033144016700292725,"Lope de Vega, Félix",Segunda parte de la Filomena,Lope_filomenasegunda.xml
Lope_rosa,37.394557823129254,392.7177564903512,0.2626887393123522,0.031471738186030794,0.011262891988865827,0.10217052018471143,0.10049717623207993,0.04138308313623272,0.06838184421811395,0.03652394973532204,"Lope de Vega, Félix",La rosa blanca,Lope_rosa.xml
Montalban_orfeo,43.98141263940521,167.57247688672075,0.24545685064660638,0.02621950761417506,0.011840098567318023,0.09556221686312516,0.1043972142712254,0.04414493602890907,0.07158150961256733,0.03591095885265238,"Montalbán, Juan Pérez de",El Orfeo en lengua castellana,Montalban_orfeo.xml
Polo_fabapolodafne,20.506493506493506,313.47634508348796,0.2640911969601013,0.03755813268970389,0.010831812562547831,0.09342438335197505,0.10678754341555308,0.03749926414316831,0.07311473479719786,0.03855889798080885,"Polo de Medina, Jacinto",Fábula de Apolo y Dafne,Polo_fabapolodafne.xml
Polo_fabpansiringa,37.6,746.480987654321,0.283096926713948,0.03289113035851332,0.010305887512334173,0.11818879508825787,0.09450718123012827,0.03815371121587545,0.060190768556079376,0.03365859006687863,"Polo de Medina, Jacinto",Fábula de Pan y Siringa,Polo_fabpansiringa.xml
Quevedo_apolo,23.636363636363637,25.231404958677683,0.2519230769230769,0.03212564697483491,0.0453328573978226,0.08566839193289309,0.09816169908977333,0.03640906657147956,0.07888631090487239,0.03426735677315724,"Quevedo, Francisco de",Fábula de Apolo y Dafne,Quevedo_apolo.xml
Soto_fragmentosadonis,33.83473389355742,505.3332077929211,0.2414107128073516,0.027346426124686,0.007364695135875771,0.09958038364923498,0.10520381365608586,0.04129081982187714,0.07096369034026033,0.037108928979219,"Soto de Rojas, Pedro",Fragmentos de Adonis,Soto_fragmentosadonis.xml
Soto_rayosfaeton,28.529816513761467,310.05123200909014,0.24262400514510812,0.02549538280667938,0.010157141783036342,0.10083321371692607,0.10669783528478957,0.04531753029712716,0.0689947437133034,0.03153772017962967,"Soto de Rojas, Pedro",Los rayos de Faetón,Soto_rayosfaeton.xml
Villamediana_apolodafne,33.0632183908046,277.20214030915577,0.2247523031461846,0.021107782177323436,0.009786061637132835,0.09319341774438807,0.10385269718914199,0.048779753391246745,0.07663239035847097,0.034597491757125,"Villamediana, Conde de",Fábula de Apolo y Dafne,Villamediana_apolodafne.xml
Villamediana_europa,39.92079207920792,736.7707087540438,0.24032738095238096,0.01952586206896552,0.009913793103448277,0.09745689655172414,0.105,0.04629310344827586,0.0778448275862069,0.03375,"Villamediana, Conde de",Fábula de Europa,Villamediana_europa.xml
Villamediana_faeton,33.88414634146341,238.32194378346225,0.23618859096634875,0.023167382039923183,0.009211865249692044,0.09185851676727799,0.10731363952838922,0.048232224696062004,0.0755311742067773,0.03358811332736551,"Villamediana, Conde de",Fábula de Faetón,Villamediana_faeton.xml
Villamediana_fenix,52.642857142857146,1057.6581632653063,0.23066485753052918,0.021044741697416974,0.005823339483394834,0.09507610701107011,0.10285977859778597,0.04779750922509225,0.0759340405904059,0.03943726937269373,"Villamediana, Conde de",Fábula de la Fénix,Villamediana_fenix.xml
