"","D.words.v","Freq"
"1","de",4.68822074055437
"2","el",3.78244642932025
"3","en",2.87667211808613
"4","la",2.80957772466138
"5","que",2.76345032918187
"6","y",2.21830838260578
"7","a",1.82412882123538
"8","su",1.57671824548161
"9","del",1.51801065123496
"10","al",1.28318027424833
"11","no",1.24543967794691
"12","las",0.847066716987462
"13","los",0.813519520275087
"14","con",0.800939321507946
"15","ya",0.675137333836541
"16","por",0.587075942466558
"17","sus",0.587075942466558
"18","luz",0.536755147397996
"19","se",0.524174948630855
"20","le",0.469660753973246
"21","es",0.465467354384199
"22","tu",0.452887155617059
"23","cuando",0.423533358493731
"24","más",0.39837296095945
"25","si",0.352245565479935
